net,length_um
_16905_,281.445
_17904_,281.39
_10098_,281.26
_05739_,281.23
_06192_,281.02
u_aes128.gen_state_sbox\[13\].sb_state.in\[4\],280.92
_06455_,280.76
_19705_,280.735
_06330_,280.6
_10968_,280.6
_12611_,280.525
_12603_,280.49
_03858_,280.22
_04979_,280.12
_05702_,280.08
net6,280
u_auth_fsm.aes_plaintext\[5\],279.96
_17826_,279.8
_14712_,279.64
fifo_nonce\[0\]\[118\],279.29
_05815_,279.165
_11129_,278.95
u_cmd_parser.challenge_nonce\[74\],278.88
_15725_,278.8
_16037_,278.44
_04986_,278.19
u_aes128.gen_state_sbox\[8\].sb_state.in\[5\],278.07
_17706_,278
u_auth_fsm.aes_plaintext\[7\],277.97
_05819_,277.83
_15381_,277.83
_14775_,277.825
_12970_,277.795
_17277_,277.16
fifo_nonce\[0\]\[113\],277.08
_06704_,277.03
net8,276.97
_09231_,276.86
_09229_,276.64
_03700_,276.61
_13364_,276.54
net27,276.53
_03853_,276.38
u_auth_fsm.aes_plaintext\[40\],276.36
_17532_,276.25
_16983_,276.2
u_auth_fsm.aes_plaintext\[62\],276.17
_07441_,276.135
_13939_,276.02
u_auth_fsm.aes_plaintext\[31\],275.81
u_auth_fsm.aes_plaintext\[26\],275.78
_04799_,275.3
_16898_,274.86
u_cmd_parser.cmd_challenge,274.74
_12555_,274.58
u_auth_fsm.aes_plaintext\[39\],274.38
_13957_,273.76
_15790_,273.74
_16980_,273.54
net296,273.46
_08644_,273.3
fifo_nonce\[0\]\[74\],272.88
u_auth_fsm.aes_plaintext\[38\],272.7
u_auth_fsm.aes_plaintext\[30\],272.69
u_cmd_parser.challenge_nonce\[104\],272.62
fifo_nonce\[0\]\[115\],272.42
_17769_,272.11
_05388_,271.84
u_auth_fsm.aes_plaintext\[61\],271.81
_13359_,271.68
u_cmd_parser.challenge_nonce\[59\],271.68
_08554_,271.43
fifo_nonce\[0\]\[96\],271.35
_04519_,271.16
_18193_,271.07
_14834_,270.77
u_cmd_parser.challenge_nonce\[25\],270.64
_18235_,270.52
u_cmd_parser.challenge_nonce\[46\],270.52
_14286_,270.43
_15626_,270.19
_16960_,270.12
_03755_,269.96
_03836_,269.44
_05516_,269.43
_06592_,269.38
_16996_,269.26
_07019_,269
fifo_nonce\[0\]\[114\],268.97
_18113_,268.92
_03678_,268.8
_08575_,268.71
_14475_,268.62
_19584_,268.6
_05505_,268.38
_12585_,268.29
net14,268.095
u_auth_fsm.aes_plaintext\[24\],268.04
_19044_,267.39
_16597_,267.36
_11402_,267.33
_08391_,267.195
_06935_,267.1
_06122_,267.04
_17992_,266.86
u_auth_fsm.aes_plaintext\[33\],266.71
u_auth_fsm.aes_plaintext\[3\],266.64
net170,266.47
net46,266.36
_07335_,266.27
u_cmd_parser.challenge_nonce\[67\],266.06
u_cmd_parser.challenge_nonce\[45\],266.02
_18090_,265.38
_18144_,265.18
_09007_,265.07
_06123_,265.01
u_uart_rx.rx_d2,264.765
_08859_,264.7
_00011_,264.54
_10152_,264.5
fifo_nonce\[0\]\[91\],264.3
_17462_,264.17
net380,263.91
u_cmd_parser.challenge_nonce\[108\],263.9
fifo_nonce\[0\]\[117\],263.68
_15648_,263.3
_06629_,263.2
_17373_,263.05
u_auth_fsm.nonce_hist\[4\]\[88\],262.855
fifo_nonce\[0\]\[111\],262.78
_17192_,262.68
_05581_,262.62
_15348_,262.33
_07240_,262.32
_13989_,262.2
_14841_,261.98
_09479_,261.89
_12232_,261.49
_17744_,261.49
_14491_,261.25
_07586_,261.21
_05502_,260.73
_13809_,260.34
_18243_,260.16
_08598_,260.15
_13636_,260.075
_17089_,260.04
_12729_,259.81
_11030_,259.8
_06984_,259.77
_17614_,259.66
fifo_nonce\[0\]\[93\],259.56
u_cmd_parser.challenge_nonce\[106\],258.94
net44,258.93
_10284_,258.755
_10331_,258.28
_18851_,258.04
_05536_,257.615
_19577_,257.6
_06375_,257.45
fifo_nonce\[0\]\[60\],257.44
_09166_,257.34
_10703_,257.26
_15897_,257.24
_04974_,257.17
net399,257.15
_13128_,257.09
_17003_,256.775
_10368_,256.49
_14825_,256.36
_16575_,256.18
_17809_,256
_06600_,255.5
_06401_,255.36
_15251_,255.3
_05501_,255.17
_14483_,255.11
_11516_,254.86
_10977_,254.67
_12995_,254.48
_07736_,254.36
_06730_,254.3
_13390_,254.3
fifo_nonce\[0\]\[116\],254.3
fifo_nonce\[0\]\[89\],254.28
_09445_,254.27
_10569_,254.13
u_cmd_parser.challenge_nonce\[99\],254.11
_15262_,253.98
net26,253.83
_08636_,253.77
fifo_nonce\[0\]\[95\],253.56
_12426_,253.53
_16977_,253.24
_07134_,253.06
net10,252.98
_09358_,252.6
_17557_,252.46
_16992_,252.36
_12957_,251.9
_05816_,251.6
_13038_,251.54
_05738_,251.53
_11376_,251.23
_05496_,251.14
_17395_,251.08
_07867_,250.72
_12607_,250.68
_06703_,250.62
_08590_,250.58
_15392_,250.32
_13759_,250.28
_05411_,250.25
_03849_,250.01
_07743_,249.96
_06669_,249.88
_16553_,249.8
_17982_,249.8
_18168_,249.71
_10617_,249.6
u_cmd_parser.nonce_reg\[44\],249.59
_06752_,249.28
_18563_,249.085
_17071_,249.02
u_auth_fsm.aes_plaintext\[13\],248.92
_08586_,248.83
_06269_,248.82
_11363_,248.82
_09746_,248.62
_18353_,248.615
_10685_,248.36
_07465_,248.2
_14452_,248.02
_10134_,247.96
_18510_,247.865
_16888_,247.785
_13931_,247.68
_06080_,247.6
_13077_,247.59
_08305_,247.43
_07098_,247.285
_06668_,247.2
_04788_,247.16
_11013_,246.84
u_cmd_parser.challenge_nonce\[28\],246.56
_07779_,246.51
u_auth_fsm.nonce_hist\[4\]\[79\],246.08
_17472_,245.61
_09723_,245.32
_10957_,245.1
_13018_,244.83
_18145_,244.6
_13444_,244.22
_10576_,244.16
_16464_,244.16
_11449_,244.07
_14759_,243.94
_06163_,243.78
_06359_,243.495
_08139_,243.46
u_cmd_parser.challenge_nonce\[60\],243.315
_08518_,242.87
_05951_,242.75
_10170_,242.51
_11899_,242.41
_08589_,242.36
_13981_,242.34
_12458_,242.28
_06637_,242.13
_16344_,241.93
_12595_,241.9
_15908_,241.9
u_auth_fsm.aes_plaintext\[16\],241.9
fifo_nonce\[0\]\[102\],241.74
_03827_,241.62
_06437_,241.525
_05547_,241.44
_17656_,241.16
_17180_,241.12
_13564_,241.04
_06117_,240.94
_12591_,240.58
_17404_,240.58
_07816_,240.55
_13485_,240.38
_16082_,240.32
_05100_,240.22
_08828_,240.18
