net,length_um
_17857_,299.54
_07061_,299.48
_15725_,299.22
_16960_,299.1
_17057_,298.76
_09231_,297.94
_15779_,297.88
_15637_,297.5
_13359_,297.32
_03689_,297.13
_06879_,296.765
u_cmd_parser.challenge_nonce\[59\],296.455
_17681_,296.4
_17003_,296.275
_06551_,296.18
u_cmd_parser.challenge_nonce\[68\],296.16
u_auth_fsm.aes_plaintext\[29\],296.01
_11309_,295.74
u_cmd_parser.challenge_nonce\[24\],295.465
u_auth_fsm.nonce_hist\[4\]\[84\],295.325
net315,295.02
u_cmd_parser.challenge_nonce\[46\],294.94
net18,294.76
_06704_,294.73
u_cmd_parser.challenge_nonce\[104\],293.38
u_auth_fsm.aes_plaintext\[25\],293.32
_05592_,293.06
_03836_,292.955
_17498_,292.89
_12337_,292.87
_06231_,292.74
_08644_,292.63
_17067_,292.36
net11,291.47
_04099_,291.36
_08032_,291.14
u_aes128.gen_key_sbox\[2\].sb_key.in\[5\],290.92
_17366_,290.85
_15284_,290.58
_17826_,290.11
_16980_,290.02
net252,289.97
net22,289.96
_05505_,289.39
_03700_,289.3
fifo_nonce\[0\]\[113\],289.29
_10968_,289.18
_17277_,289.1
_08554_,289.06
_13967_,289.06
_16992_,288.84
net46,288.3
_05914_,288.22
_11787_,287.92
_13929_,287.54
u_cmd_parser.challenge_nonce\[108\],287.5
u_cmd_parser.challenge_nonce\[45\],287.04
_05774_,286.73
u_aes128.gen_state_sbox\[13\].sb_state.in\[4\],286.675
_05700_,286.505
fifo_nonce\[0\]\[115\],286.02
u_auth_fsm.aes_plaintext\[40\],285.9
_17524_,285.72
_13374_,285.71
u_auth_fsm.aes_plaintext\[35\],285.58
_14313_,285.14
_11516_,284.9
_15626_,284.78
u_auth_fsm.nonce_hist\[4\]\[85\],284.57
_13939_,284.52
net27,284.52
_04291_,283.96
_14931_,283.96
_16898_,283.64
_04239_,283.44
net8,283.145
_06192_,282.64
_14712_,282.635
_16520_,282.47
_16983_,282.24
u_auth_fsm.aes_plaintext\[27\],281.87
u_auth_fsm.aes_plaintext\[62\],281.69
_14425_,281.56
fifo_nonce\[0\]\[74\],281.54
_09194_,281.24
_06984_,280.965
_17532_,280.9
_06330_,280.82
_06455_,280.76
_04979_,280.5
_16894_,280.31
_05516_,280.3
_07491_,280.16
net6,280
_09229_,279.44
_05739_,279.26
_05367_,279.12
u_cmd_parser.nonce_reg\[44\],278.75
_07441_,278.705
_10941_,278.67
_07354_,278.46
_06380_,278.26
u_auth_fsm.aes_plaintext\[5\],278.12
